purchase_frequency,inactivity_days,cart_abandonment_count,refund_count,complaint_count,login_frequency,Churn
12,23,12,2,3,20,0
18,13,0,4,3,18,0
6,31,6,4,0,6,1
16,55,2,4,2,24,1
19,45,5,3,0,10,1
3,42,4,0,1,20,0
4,15,4,4,2,15,0
6,3,10,1,1,5,0
12,51,4,4,4,20,1
14,36,0,3,1,3,1
10,53,0,1,4,5,1
3,20,2,3,4,25,0
12,13,13,1,1,8,0
6,30,11,2,1,8,1
18,54,9,0,4,8,0
1,47,3,0,2,12,1
9,17,4,3,4,24,0
12,6,1,0,3,23,0
5,9,7,3,4,8,0
11,6,10,3,2,11,0
11,32,10,3,3,14,0
19,22,13,0,0,8,1
10,20,1,3,0,29,0
6,18,8,0,2,24,0
0,47,1,3,4,28,1
0,18,12,4,1,10,0
19,35,8,3,2,7,0
12,28,6,1,3,28,0
8,59,14,3,3,17,1
2,17,7,2,0,4,0
6,1,14,3,3,29,1
5,0,10,1,2,13,0
7,46,1,1,3,4,1
8,4,6,0,2,5,0
4,19,11,4,1,26,0
0,10,5,3,0,22,0
18,41,3,0,3,4,1
9,1,6,4,2,18,0
11,2,13,3,4,6,0
14,22,12,2,0,24,0
8,54,3,3,1,24,1
19,11,1,1,2,23,0
16,19,9,1,1,22,0
16,4,11,2,1,2,0
19,36,6,0,3,23,1
11,37,7,4,3,11,1
6,29,1,3,2,28,0
1,8,4,1,4,14,1
2,33,0,0,2,5,1
16,52,6,2,4,6,1
4,43,7,1,1,10,1
16,34,12,2,0,8,1
16,51,5,3,2,14,1
16,57,4,4,2,24,1
1,21,14,1,4,3,0
1,43,5,1,1,12,0
4,23,14,3,1,16,0
0,16,1,0,4,28,0
0,9,0,4,1,23,0
18,29,6,1,3,17,0
1,55,6,4,0,1,1
11,58,9,1,2,23,1
5,45,10,4,0,10,1
3,22,9,2,2,25,0
10,31,13,1,3,23,0
16,16,1,4,1,10,0
5,49,1,0,4,21,1
4,50,0,2,3,24,1
19,16,9,2,0,2,0
1,13,7,0,4,9,0
5,8,14,4,1,22,0
10,39,7,3,3,13,1
15,1,0,0,4,25,0
15,44,11,4,3,16,0
0,24,10,0,3,18,0
8,38,7,0,1,19,1
5,8,8,1,2,12,0
15,53,13,4,4,8,1
2,21,3,3,1,17,0
19,42,0,1,3,15,1
3,45,0,0,1,10,1
18,3,2,0,2,15,0
2,25,14,0,4,15,0
18,57,13,4,2,23,1
19,28,4,4,0,7,0
6,44,4,1,4,13,1
19,33,8,3,2,17,0
8,22,9,1,3,9,0
0,36,13,2,4,8,1
7,10,11,0,4,20,0
6,5,1,0,1,26,0
17,17,1,0,3,27,0
7,20,5,1,0,21,0
0,41,14,1,2,18,1
10,35,8,0,1,13,0
17,40,0,1,2,16,1
9,37,8,4,0,9,1
2,33,8,4,0,12,1
6,16,12,1,4,12,0
15,36,8,0,0,6,0
15,24,4,1,2,19,1
19,37,12,1,3,28,1
16,57,14,1,3,7,1
1,11,8,2,4,25,0
0,22,10,4,2,3,0
15,52,3,3,2,16,1
11,41,1,3,0,18,1
4,21,12,2,2,16,0
4,20,5,1,1,23,1
8,26,13,2,0,7,1
8,56,3,2,1,4,1
2,30,5,0,4,27,0
18,5,2,4,3,25,1
15,26,5,3,4,8,0
15,39,1,1,3,13,1
2,33,1,3,4,13,1
19,11,12,3,2,17,0
0,44,8,4,1,17,1
19,56,6,3,3,5,1
10,52,2,3,0,6,1
16,6,12,2,1,19,0
7,9,10,4,0,13,1
3,44,0,0,1,25,1
5,16,7,1,1,28,0
7,25,13,3,4,26,0
19,20,5,1,3,14,0
2,27,6,0,3,22,0
15,57,8,1,1,4,1
2,45,4,0,2,28,1
17,1,14,2,2,7,0
13,59,0,3,0,8,1
17,53,11,0,0,25,1
1,42,9,1,4,13,1
2,0,6,3,1,27,0
15,50,14,2,0,6,1
8,52,4,3,0,6,1
3,35,2,0,1,24,1
0,50,11,2,4,28,1
3,25,12,1,0,21,0
0,28,8,2,4,3,1
13,20,0,2,3,28,0
15,10,0,4,4,3,0
19,39,0,2,2,13,1
7,10,2,2,2,22,1
6,35,11,3,4,2,1
2,48,5,1,2,16,1
16,58,9,3,3,22,1
0,38,10,3,1,29,1
15,39,2,0,2,6,1
11,34,7,3,2,8,1
18,53,13,4,4,23,1
13,33,13,4,3,8,1
5,54,9,0,1,25,1
5,46,1,1,4,6,0
12,23,13,1,4,14,0
18,53,8,3,3,3,1
7,21,2,3,1,10,0
1,4,4,3,3,3,0
0,55,9,1,1,27,0
14,32,7,2,3,12,1
0,57,1,4,4,17,1
4,35,5,2,4,27,1
15,46,11,2,0,29,1
18,19,4,1,2,5,0
3,18,12,2,3,20,0
2,34,9,0,0,25,1
16,51,8,3,2,9,1
16,42,11,0,3,21,1
11,16,4,4,1,26,0
13,58,1,3,2,20,1
5,44,4,2,4,7,1
2,42,14,4,0,22,0
8,33,11,3,2,4,1
4,8,3,2,2,13,0
16,25,14,0,4,13,1
13,1,10,3,3,10,0
2,52,6,2,1,18,1
0,8,5,0,4,17,0
19,8,13,4,1,20,1
0,39,1,4,3,20,1
2,16,11,4,2,13,0
17,0,10,4,1,17,0
9,24,10,1,0,22,0
2,42,12,3,0,4,1
7,39,4,3,4,1,1
13,41,6,1,3,1,1
17,24,10,2,4,15,0
14,38,6,2,4,13,1
1,34,14,4,4,17,0
9,2,4,0,0,24,0
1,49,11,2,0,26,1
16,36,14,0,4,8,1
7,43,8,3,0,18,1
0,43,3,0,3,27,0
8,50,10,3,4,13,1
10,29,2,1,0,23,0
15,37,14,1,1,14,1
6,33,3,4,4,8,1
9,11,4,2,4,8,0
2,18,12,4,3,27,1
17,36,5,3,2,26,1
12,43,2,4,2,15,1
6,58,1,0,3,27,1
3,58,13,3,3,13,1
12,48,12,1,3,7,1
19,16,3,2,2,5,0
0,9,4,3,3,17,0
7,56,3,3,0,28,1
13,54,13,0,4,25,1
15,48,10,2,4,29,1
13,46,12,1,1,16,1
11,11,14,3,1,23,0
18,15,11,3,4,2,0
14,23,2,0,0,22,0
1,18,7,4,2,18,0
1,7,9,1,2,17,0
18,30,3,2,0,7,1
16,20,13,3,2,13,0
19,16,1,3,3,18,0
9,22,1,1,4,29,0
5,36,0,4,4,14,1
14,53,12,3,0,18,1
10,15,3,1,2,13,0
4,5,9,0,1,11,0
0,7,8,4,1,21,0
7,24,13,2,2,21,0
11,17,10,3,1,16,0
11,24,6,1,0,23,0
4,11,14,0,0,17,0
6,14,11,2,2,8,0
3,58,9,1,1,19,1
5,25,6,1,0,20,0
12,40,12,2,0,15,1
19,44,14,0,3,9,1
14,25,6,0,3,20,0
2,46,14,4,0,10,1
7,31,7,3,2,12,1
19,9,0,2,4,21,0
15,15,9,2,4,23,0
12,6,12,2,0,20,0
17,16,9,0,0,1,0
9,22,7,3,0,25,0
18,25,3,4,2,20,0
16,20,3,1,3,9,0
18,21,3,1,0,22,0
4,57,5,2,0,15,1
8,6,6,3,1,1,0
11,13,5,0,2,12,0
0,14,0,3,0,3,0
0,52,11,3,1,11,1
14,6,7,0,4,2,0
1,8,12,2,0,16,0
15,50,9,3,0,9,1
7,47,14,1,1,15,1
12,7,10,0,2,12,0
0,49,12,4,0,1,1
15,58,6,2,4,13,1
6,22,5,0,0,14,0
4,28,5,4,4,25,0
2,17,4,4,3,25,0
11,30,5,3,3,8,1
15,29,11,3,4,8,1
18,51,8,3,2,27,1
4,38,9,0,0,12,1
13,34,8,0,0,1,1
4,17,14,2,3,11,0
14,58,9,3,4,8,1
16,41,7,4,0,10,1
13,38,9,1,0,19,1
19,16,8,2,2,11,0
4,13,12,0,1,7,0
11,30,9,2,3,11,1
15,23,7,2,3,17,0
15,34,7,2,1,1,1
6,43,0,2,0,26,0
3,59,9,1,2,29,1
0,44,10,3,2,21,1
4,33,4,4,3,21,1
9,2,3,2,2,8,0
4,36,1,2,1,23,1
3,42,7,2,0,24,1
1,39,2,3,1,6,1
19,25,3,0,4,22,0
9,54,11,0,3,18,0
18,22,6,1,2,6,0
0,43,9,0,4,5,1
4,38,8,2,2,13,1
12,14,1,2,0,19,0
3,55,2,2,0,22,1
15,48,3,1,0,8,1
15,3,9,2,2,9,0
1,28,0,0,4,17,0
16,21,6,3,0,3,0
19,24,1,3,4,19,0
11,12,4,4,2,11,0
17,17,14,0,4,24,0
2,32,0,2,2,17,1
0,15,2,3,2,21,0
0,44,11,0,3,19,1
18,41,1,3,2,2,1
10,43,0,2,2,8,1
4,1,6,3,1,19,0
11,54,4,4,0,7,1
2,34,0,4,3,28,1
0,41,5,3,3,27,1
0,33,4,0,3,17,1
7,29,14,0,1,6,0
9,58,2,0,2,19,1
10,54,11,3,0,24,1
11,12,6,0,4,6,0
12,12,10,2,2,28,0
11,17,9,4,1,2,0
13,31,8,2,2,6,0
1,31,13,0,2,23,0
18,34,12,2,1,5,1
17,58,12,0,3,19,1
2,38,8,3,3,20,1
16,45,13,2,0,4,1
7,51,8,3,0,22,1
9,28,1,3,3,26,0
1,48,2,1,4,17,1
18,28,6,0,2,11,0
8,52,4,4,4,4,1
6,43,1,0,2,26,1
3,56,2,4,3,13,1
17,15,9,0,0,20,0
12,55,5,3,0,26,1
10,43,12,2,4,17,1
3,46,6,2,0,9,1
3,56,8,1,3,4,1
9,9,0,4,4,23,0
4,29,10,4,2,28,0
8,24,6,4,0,14,0
2,38,7,3,1,19,1
16,19,11,4,0,26,0
2,4,13,2,2,28,0
15,0,2,3,4,3,0
3,29,3,0,2,14,0
17,48,9,4,1,8,1
16,2,5,4,3,24,0
6,44,9,0,0,27,1
4,13,6,4,4,28,0
11,55,12,0,3,1,1
16,29,13,3,2,10,0
12,49,3,2,4,18,1
2,3,7,0,3,16,0
8,17,4,1,4,8,1
16,36,0,0,1,1,1
16,24,3,4,1,12,0
19,47,2,3,0,8,1
15,0,8,3,0,24,0
12,52,7,0,1,16,1
18,45,0,2,4,18,1
16,14,10,1,1,4,0
3,8,5,3,0,6,0
11,14,8,4,1,12,0
8,48,6,4,1,27,1
18,56,3,2,4,9,1
11,23,12,3,3,15,0
8,3,0,0,0,16,0
6,11,11,4,4,24,1
13,58,1,2,1,12,1
19,57,11,3,1,24,1
18,36,4,3,3,23,1
14,36,11,3,0,14,0
15,42,10,3,0,13,0
4,59,4,3,2,25,1
2,5,7,4,0,2,0
11,38,5,2,3,3,1
19,55,7,3,2,26,1
3,45,1,1,2,24,1
15,23,2,1,1,22,0
6,10,5,2,1,10,0
12,12,11,0,0,9,1
9,33,12,0,2,26,1
6,24,9,0,1,20,0
13,6,2,1,3,8,0
4,51,5,0,1,10,1
2,3,5,4,1,19,0
10,58,1,3,2,3,1
10,7,6,1,2,24,0
17,19,11,2,4,5,0
14,28,1,2,3,3,0
11,53,5,3,2,26,1
8,52,0,1,0,27,1
9,50,2,0,3,16,1
11,44,1,0,3,17,1
16,45,6,4,2,15,1
5,9,13,4,3,3,0
6,42,3,0,2,12,1
13,33,7,2,1,9,1
12,56,5,2,4,21,0
7,25,11,4,1,12,0
9,40,9,3,2,26,0
8,48,3,0,2,15,1
17,57,4,4,1,2,1
1,2,12,4,0,23,0
4,55,12,0,0,18,1
4,5,14,0,0,20,0
5,4,14,2,2,12,1
18,4,8,3,3,23,0
7,53,6,3,2,4,1
15,46,9,0,3,23,1
12,22,13,1,1,16,0
0,48,13,4,4,23,1
19,8,8,4,3,16,0
16,34,6,0,0,1,1
6,19,11,1,2,22,1
12,57,0,2,1,25,1
3,48,11,0,0,2,1
3,58,7,0,1,3,1
5,41,3,4,4,26,1
18,34,2,0,2,21,1
11,49,13,0,2,25,1
6,17,12,0,4,20,0
9,16,6,4,2,17,0
18,23,11,2,3,20,0
6,2,2,2,1,22,0
2,31,7,0,0,21,1
12,34,5,4,4,29,1
12,37,4,2,3,1,1
17,12,3,2,0,20,0
19,55,7,2,0,6,1
7,46,7,4,4,29,1
8,24,11,4,3,15,1
6,8,0,0,0,26,0
0,3,8,3,0,26,1
2,13,13,2,3,14,0
12,36,4,3,2,20,1
16,33,3,4,0,15,0
0,10,5,4,1,14,0
5,40,5,4,3,25,1
5,55,1,3,0,21,1
11,2,7,4,4,24,0
12,58,6,0,1,25,1
12,27,0,4,0,26,0
14,28,4,1,1,5,0
15,8,11,3,1,6,0
10,2,5,1,2,17,0
4,24,3,4,1,11,0
3,33,1,0,2,16,1
2,11,12,2,3,12,0
18,41,13,4,2,15,0
19,8,3,0,4,23,0
17,14,0,3,0,4,0
14,39,6,1,3,27,1
8,24,1,1,3,18,0
16,4,12,1,4,21,0
13,10,1,3,2,28,0
14,58,8,0,0,3,1
0,33,4,3,2,22,1
2,23,1,1,1,8,0
15,59,10,4,2,23,1
10,14,8,2,3,3,0
11,37,8,3,0,8,1
9,7,0,3,2,18,0
15,58,10,0,0,10,1
7,4,2,0,0,25,0
5,47,3,3,1,20,1
11,25,13,1,1,17,0
7,17,6,2,3,8,0
3,5,9,0,4,23,0
7,36,3,1,0,11,1
17,59,1,4,4,29,1
4,47,6,0,3,5,1
8,12,5,1,0,26,0
3,27,2,1,0,13,1
16,4,5,2,4,21,0
8,12,10,2,2,23,0
0,16,14,4,1,5,0
19,49,5,1,2,24,1
12,39,11,1,4,27,1
15,44,4,2,1,13,1
12,31,3,0,2,6,0
13,28,9,0,1,29,0
2,50,11,3,0,5,1
5,57,14,2,2,9,0
17,2,0,3,1,27,0
18,55,9,2,1,16,1
4,39,5,4,1,2,1
14,33,1,1,2,1,1
1,39,12,4,3,8,1
9,26,2,2,2,28,0
17,12,13,1,4,19,0
12,44,7,0,2,11,1
4,32,9,0,1,28,1
0,5,13,3,0,12,1
0,23,13,2,2,12,0
17,18,5,2,2,7,0
14,15,2,0,1,26,0
16,39,6,4,0,13,1
10,27,3,1,0,27,0
16,32,13,4,4,8,1
12,58,8,4,2,29,1
0,58,14,0,0,29,1
1,47,4,0,0,22,1
8,40,2,0,3,28,1
2,12,1,3,3,26,0
0,42,10,4,0,9,0
15,44,1,2,4,7,1
5,24,2,1,0,26,0
16,52,1,3,1,21,1
4,41,13,2,2,24,1
4,35,3,4,4,15,1
5,26,1,0,1,2,0
2,37,9,4,4,23,1
4,59,8,1,1,20,1
4,6,1,3,2,25,0
9,4,8,3,2,12,0
9,42,12,1,3,1,1
18,44,5,2,1,23,1
16,57,0,2,3,22,1
13,56,3,3,1,8,1
8,50,14,3,3,5,1
13,30,13,0,2,15,1
0,22,0,2,4,1,0
18,41,13,1,3,1,1
12,9,5,2,1,25,0
12,31,13,0,1,10,1
3,42,12,3,2,22,1
0,52,3,3,1,10,1
16,29,2,0,0,21,1
7,38,2,1,4,15,1
1,30,8,3,3,17,1
7,17,5,4,4,22,0
6,35,8,3,2,6,1
1,1,12,4,3,3,0
2,13,4,0,3,13,0
17,12,1,0,0,16,0
11,28,7,3,2,8,0
0,11,4,2,1,15,0
11,38,1,4,0,17,1
4,1,3,1,0,17,0
16,31,8,3,4,22,1
15,12,14,1,4,26,0
14,45,3,3,4,13,0
14,26,12,2,0,17,1
4,48,11,2,1,6,1
13,40,11,2,3,17,1
1,16,11,2,4,16,0
10,39,12,0,1,14,1
18,30,14,0,2,13,1
6,33,13,4,4,6,1
5,59,3,1,3,3,1
1,23,1,3,2,14,0
5,44,12,3,2,14,1
17,34,11,0,3,15,1
1,47,14,3,4,8,1
17,5,5,0,0,29,0
14,18,12,4,3,15,0
18,29,10,1,3,22,1
1,6,13,4,3,29,1
19,9,1,2,2,27,0
5,40,11,2,1,13,1
0,31,6,2,0,17,1
14,33,2,4,4,21,1
9,27,14,3,4,24,0
18,59,2,1,1,3,1
16,14,4,2,3,28,0
4,29,2,2,0,6,0
3,36,1,2,4,5,1
9,28,9,1,4,22,0
16,21,8,2,3,26,0
9,3,1,1,1,17,1
16,19,13,2,0,23,0
19,31,10,4,1,25,0
4,35,1,4,1,2,1
1,49,12,1,0,26,1
5,3,14,4,0,15,0
1,26,7,1,4,5,0
12,16,14,4,4,26,1
10,11,8,4,0,20,0
10,21,6,1,2,6,0
15,16,2,3,4,6,0
10,9,8,4,2,27,0
18,53,2,2,0,18,1
14,0,4,3,4,18,0
15,21,8,1,1,4,0
10,25,11,3,0,17,0
15,55,13,0,3,25,1
7,58,13,0,2,14,1
3,17,2,4,0,14,0
7,49,6,4,0,13,1
3,13,11,2,4,7,0
2,46,0,3,4,12,1
2,28,3,0,4,23,0
17,11,3,4,3,15,0
18,35,6,3,4,19,1
18,58,7,4,0,11,1
4,34,0,4,4,15,1
17,51,4,0,1,12,1
9,11,6,0,4,3,0
5,6,11,4,3,17,0
0,28,3,1,1,3,1
4,10,12,4,0,19,1
8,32,3,4,0,20,1
11,5,3,2,2,4,0
13,46,11,2,1,3,1
1,14,5,2,2,26,1
16,31,6,1,1,16,1
13,50,1,1,1,12,1
12,10,14,4,3,8,0
8,57,4,2,2,24,1
14,22,3,1,3,29,0
14,25,14,0,1,29,0
10,33,13,4,0,17,1
15,45,12,3,1,7,1
16,33,2,4,3,11,1
3,28,6,3,2,18,0
0,3,10,2,2,1,0
7,16,11,3,3,3,0
16,34,5,2,2,4,1
2,12,13,0,4,13,0
19,40,6,3,0,6,1
14,38,4,4,0,26,0
14,14,12,2,0,14,0
13,54,5,4,2,5,1
13,28,4,1,2,16,0
1,28,13,2,1,15,0
12,10,6,3,1,15,0
13,51,1,2,0,4,1
18,31,13,4,4,8,1
6,1,10,0,1,27,0
2,46,4,2,1,16,1
14,13,5,3,2,28,0
13,19,5,1,4,16,0
10,21,14,0,0,4,0
14,10,4,1,1,13,1
12,26,9,2,4,26,0
17,2,6,4,4,28,1
5,16,9,4,0,13,0
2,43,7,3,4,2,1
18,55,6,4,4,3,1
14,27,4,0,4,22,0
4,28,0,4,1,8,0
9,20,12,3,0,24,0
6,46,4,2,4,15,1
16,15,9,2,4,11,0
6,36,1,4,1,9,0
11,58,12,1,0,7,1
16,19,4,2,2,13,0
12,5,4,4,1,2,0
19,18,1,3,0,8,0
3,56,4,4,4,7,1
9,4,12,2,0,24,0
2,2,3,3,0,12,0
8,58,0,4,0,19,1
12,0,2,0,2,7,0
17,57,0,3,0,10,1
14,59,11,0,2,29,1
3,37,10,1,4,25,1
14,14,14,3,2,16,1
1,33,4,0,4,3,1
14,34,3,2,4,10,1
7,48,6,2,2,6,1
7,24,4,1,1,18,0
16,23,9,3,3,18,0
11,11,13,3,0,5,0
18,17,3,3,3,21,0
9,14,1,1,0,29,0
8,43,3,3,0,7,1
4,15,11,2,4,28,0
5,26,1,0,0,2,0
19,7,7,2,0,11,0
1,59,2,2,2,13,1
12,45,8,0,3,23,1
5,24,12,2,2,5,0
4,16,3,1,0,6,0
0,28,12,0,4,24,0
5,52,5,2,2,26,1
5,7,9,4,2,29,0
15,14,4,2,1,14,0
3,26,9,1,0,12,0
10,45,12,3,4,4,1
8,49,0,2,2,29,1
2,51,8,3,2,23,1
18,6,0,4,4,6,0
7,2,7,2,0,10,0
4,28,8,0,1,18,0
3,43,8,3,2,15,0
5,52,0,4,1,8,1
1,23,1,0,3,26,0
19,59,11,0,0,9,1
10,57,12,0,3,5,1
3,2,0,0,3,10,0
14,19,9,2,3,20,0
5,45,1,2,0,6,1
16,14,9,2,0,16,0
5,24,11,4,4,24,0
18,29,7,4,1,27,0
1,13,4,4,1,3,0
14,6,11,1,4,10,0
10,16,10,4,4,11,0
7,43,6,2,3,11,1
18,19,1,2,4,17,0
12,35,7,1,2,4,1
11,8,10,1,1,4,0
4,37,5,4,4,17,1
5,47,7,3,2,9,1
3,56,0,1,2,19,1
18,59,14,0,2,5,1
19,21,0,2,2,22,0
0,53,11,0,3,24,0
19,52,6,2,2,6,1
16,52,7,2,3,3,1
11,1,12,1,3,22,0
14,23,2,1,2,1,0
0,7,4,0,1,20,1
13,10,11,2,2,22,0
5,12,0,0,2,16,0
4,16,6,3,2,23,0
10,7,4,0,1,11,0
3,20,7,4,0,13,0
12,17,12,0,0,27,0
10,29,7,4,3,10,0
2,17,8,4,3,3,0
0,45,6,4,1,9,0
5,46,10,3,4,28,1
17,30,0,0,0,12,1
9,37,12,0,3,23,1
4,31,2,3,0,14,1
9,10,7,2,1,1,0
11,44,2,1,1,18,1
1,24,7,0,4,17,0
12,32,0,1,4,27,1
7,59,4,3,1,9,1
1,37,3,2,3,9,1
19,40,4,2,0,23,1
0,7,7,2,2,10,0
4,10,9,3,4,19,0
8,21,14,4,2,29,0
16,50,13,4,3,15,1
8,23,3,1,4,5,0
10,40,10,4,2,15,0
14,16,3,4,3,20,0
5,11,14,2,0,23,0
2,56,2,2,3,25,1
16,45,6,1,4,28,1
4,31,2,0,1,2,1
11,14,11,1,0,13,0
17,15,2,1,2,24,0
13,53,10,3,4,16,1
10,21,9,3,1,15,0
8,27,4,1,3,25,0
1,19,4,1,1,10,1
11,32,13,1,4,14,1
2,9,5,4,4,10,1
2,39,7,3,1,25,1
0,31,9,1,3,14,0
7,49,5,2,1,26,1
7,59,14,2,4,23,1
10,32,11,4,4,9,1
8,1,0,4,2,25,0
4,32,14,0,2,14,1
13,32,7,0,0,3,1
2,40,7,0,4,20,1
4,12,8,4,2,16,0
4,29,8,4,1,2,0
18,32,1,4,3,10,1
13,12,14,2,1,3,1
3,51,1,4,3,11,1
12,25,2,2,2,11,0
9,21,0,0,0,21,0
17,38,3,0,1,21,1
7,1,13,0,1,22,1
7,37,3,1,1,13,1
6,38,13,1,3,7,1
7,25,8,3,2,23,0
13,45,8,3,1,17,1
18,57,8,3,1,2,1
5,49,9,1,0,12,0
0,14,6,1,0,25,0
14,33,13,3,2,10,1
0,41,14,3,2,18,1
16,54,1,4,4,22,1
0,43,9,3,0,27,1
14,48,4,4,4,11,1
1,39,3,2,3,16,1
13,10,11,1,4,17,0
7,2,10,3,1,19,0
7,58,7,1,4,18,1
18,5,1,1,2,3,0
6,8,5,1,3,21,0
18,5,12,2,1,27,0
5,8,4,0,4,26,0
5,38,14,3,3,16,1
2,30,11,0,3,6,0
6,31,1,0,1,25,1
18,40,10,0,4,12,1
7,49,9,1,3,11,1
9,11,14,4,3,15,0
19,7,0,1,0,15,0
14,7,7,1,3,16,0
14,49,1,0,0,10,0
0,27,6,1,4,12,1
19,19,8,0,4,28,0
6,46,8,4,4,13,1
3,58,7,3,2,4,1
5,6,10,0,4,7,0
0,10,13,4,3,22,0
4,19,11,3,1,2,0
0,15,9,2,0,26,0
3,3,8,0,2,27,0
1,5,1,0,4,27,0
9,57,5,2,4,27,1
4,21,3,2,1,15,0
9,25,13,0,1,8,0
0,2,3,2,2,7,0
5,40,4,1,0,15,1
12,59,11,3,4,23,1
14,41,2,3,2,14,1
3,13,13,3,3,8,0
12,10,0,1,3,28,0
19,17,7,2,2,12,0
14,53,4,4,4,13,1
7,11,2,2,2,11,0
4,22,9,0,4,17,0
14,11,13,3,1,29,1
3,12,6,2,2,17,1
11,24,6,4,4,24,0
12,44,0,0,2,4,1
1,50,11,1,2,21,1
18,57,8,1,4,8,1
18,18,14,4,4,5,0
3,54,1,0,0,26,1
3,45,4,3,2,16,1
10,35,12,2,3,4,1
4,44,13,0,2,28,1
19,7,4,1,2,22,0
10,28,13,4,4,29,1
9,54,7,4,2,15,1
7,52,13,2,2,12,1
5,54,7,4,3,5,1
5,31,13,4,4,23,1
7,50,6,0,2,16,1
14,43,6,3,1,14,1
13,17,11,2,0,10,0
10,5,10,0,3,7,0
11,17,5,3,2,13,0
12,18,5,0,1,20,0
7,21,10,0,2,28,0
17,36,8,4,2,29,0
0,31,5,3,4,5,1
14,55,11,2,4,29,1
7,40,12,2,4,3,1
10,58,12,3,1,15,1
11,2,1,4,2,4,0
11,27,1,1,0,15,1
3,9,12,0,3,14,0
15,50,4,4,4,20,1
3,34,14,3,4,19,1
4,28,3,0,2,13,0
4,53,10,2,2,10,0
7,14,1,1,1,21,1
9,32,14,2,1,5,1
16,6,14,3,4,27,0
8,11,2,0,2,23,1
18,48,6,3,0,20,1
13,29,7,0,3,29,0
7,20,11,4,2,20,0
8,30,12,1,2,25,1
10,57,5,4,1,6,1
0,23,10,4,3,4,0
13,19,4,3,4,2,0
4,36,12,1,2,22,1
13,3,0,0,4,16,0
3,27,7,0,2,18,0
0,43,2,2,4,5,1
18,19,14,0,3,22,0
7,59,5,3,1,4,1
14,23,2,4,3,13,0
14,49,6,4,0,19,1
8,48,12,4,1,23,0
8,50,13,1,3,2,1
9,31,6,0,0,13,1
